video,n_frames,n_gt_frames,n_evaluated,n_detected,mean_J,mean_F,mean_Dice,mean_J&F
arctic_fox,141,30,29,29,0.9106384015084414,0.2910636684379563,0.9525409457670351,0.6008510349731988
arctic_fox_3,166,35,34,34,0.8802989253428163,0.33320597624376697,0.9358246585319828,0.6067524507932917
black_cat_1,356,73,72,72,0.3790586380606322,0.06805211690761884,0.45040839107326874,0.22355537748412552
copperhead_snake,406,83,82,82,0.7794809993927456,0.19596023597318604,0.8743497220276576,0.4877206176829658
flower_crab_spider_0,191,40,39,39,0.9173278556174141,0.32470906137273564,0.9567986857048484,0.6210184584950749
flower_crab_spider_1,216,44,44,44,0.8820174978431061,0.26942647485210863,0.936880442846387,0.5757219863476074
flower_crab_spider_2,143,30,29,29,0.8538620831437531,0.29319840992522217,0.9209319384030948,0.5735302465344876
hedgehog_3,119,25,24,24,0.6893815279777084,0.1528359292268526,0.799510830929074,0.4211087286022805
ibex,119,25,24,24,0.7001910926882003,0.2548463097094995,0.8212893956067093,0.4775187011988499
mongoose,47,10,10,10,0.4697466207734025,0.12691377382504848,0.6158096411934599,0.2983301972992255
moth,526,106,106,106,0.7341353607339428,0.2954375300297575,0.8410768948959844,0.5147864453818501
pygmy_seahorse_0,96,20,20,20,0.8164410305307193,0.22035829277126623,0.8955644236780882,0.5183996616509927
rusty_spotted_cat_0,96,20,20,20,0.6140520888592584,0.20975663598732344,0.7297823600082327,0.4119043624232909
sand_cat_0,46,10,10,10,0.8551545836727487,0.2265377145677047,0.9208110320796793,0.5408461491202267
snow_leopard_10,767,155,154,154,0.45526742539136233,0.14164400234632557,0.6123392569710095,0.29845571386884395
stick_insect_1,191,39,39,39,0.46643004473405286,0.16459416517778402,0.6243684330701057,0.3155121049559184
